0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:21 -0700] "GET /ShopOnline/images/logo.png HTTP/1.1" 200 6236
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:21 -0700] "GET /ShopOnline/images/login.png HTTP/1.1" 200 2951
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:21 -0700] "GET /ShopOnline/images/body_bg3.jpg HTTP/1.1" 200 9374
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:21 -0700] "GET /ShopOnline/images/header_cart.png HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:21 -0700] "GET /ShopOnline/images/header_arrow.png HTTP/1.1" 200 176
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:21 -0700] "GET /ShopOnline/images/icon-3.png HTTP/1.1" 200 2564
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:21 -0700] "GET /ShopOnline/images/gradient_light-1.png HTTP/1.1" 200 125
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:21 -0700] "GET /ShopOnline/images/icon-2.png HTTP/1.1" 200 2187
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:21 -0700] "GET /ShopOnline/images/icon-4.png HTTP/1.1" 200 2473
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:22 -0700] "GET /ShopOnline/images/icon-1.png HTTP/1.1" 200 2401
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:22 -0700] "GET /ShopOnline/images/arrow_up.png HTTP/1.1" 200 3081
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:22 -0700] "GET /ShopOnline/about.html HTTP/1.1" 200 8230
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:22 -0700] "GET /ShopOnline/js/script.js HTTP/1.1" 200 5017
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:22 -0700] "GET /ShopOnline/images/2.jpg HTTP/1.1" 200 28932
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:22 -0700] "GET /ShopOnline/images/1.jpg HTTP/1.1" 200 40340
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:22 -0700] "GET /ShopOnline/images/3.jpg HTTP/1.1" 200 30999
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:22 -0700] "GET /ShopOnline/images/team1.jpg HTTP/1.1" 200 5773
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:22 -0700] "GET /ShopOnline/images/4.jpg HTTP/1.1" 200 25332
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:22 -0700] "GET /ShopOnline/images/team2.jpg HTTP/1.1" 200 5696
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:22 -0700] "GET /ShopOnline/images/team3.jpg HTTP/1.1" 200 6229
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:22 -0700] "GET /ShopOnline/images/drop_arrow-hover.png HTTP/1.1" 200 239
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:22 -0700] "GET /ShopOnline/images/team4.jpg HTTP/1.1" 200 5165
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:22 -0700] "GET /ShopOnline/images/arrows.png HTTP/1.1" 200 5782
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:22 -0700] "GET /ShopOnline/page/getContent.do?uiid=aboutUs HTTP/1.1" 200 60
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:22 -0700] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:23 -0700] "GET /ShopOnline/shopOnline.html HTTP/1.1" 200 10324
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:23 -0700] "GET /ShopOnline/images/pic4.png HTTP/1.1" 200 25858
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:23 -0700] "GET /ShopOnline/images/pic3.jpg HTTP/1.1" 200 7411
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:23 -0700] "GET /ShopOnline/images/pic3.png HTTP/1.1" 200 32954
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:23 -0700] "GET /ShopOnline/images/pic1.png HTTP/1.1" 200 41050
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:23 -0700] "GET /ShopOnline/images/feature-pic1.png HTTP/1.1" 200 54017
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:23 -0700] "GET /ShopOnline/images/cart.jpg HTTP/1.1" 200 535
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:23 -0700] "GET /ShopOnline/images/feature-pic2.jpg HTTP/1.1" 200 9519
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:24 -0700] "GET /ShopOnline/images/feature-pic3.jpg HTTP/1.1" 200 11806
